14859,Lockwood,NY,984,12.2,Tioga,America/New_York
1945,Marblehead,MA,20500,1803.2,Essex,America/New_York
95452,Kenwood,CA,919,24.7,Sonoma,America/Los_Angeles
56431,Aitkin,MN,8778,7.5,Aitkin,America/Chicago
58626,Dunn Center,ND,430,1,Dunn,America/Denver
21054,Gambrills,MD,11199,242.6,Anne Arundel,America/New_York
56713,Argyle,MN,1049,2.1,Marshall,America/Chicago
4090,Wells,ME,10366,69.4,York,America/New_York
92333,Fawnskin,CA,392,36.3,San Bernardino,America/Los_Angeles
55786,Taconite,MN,332,30,Itasca,America/Chicago
26338,Camden,WV,821,8,Lewis,America/New_York
67518,Beeler,KS,53,0.1,Ness,America/Chicago
77701,Beaumont,TX,13480,753.8,Jefferson,America/Chicago
50058,Coon Rapids,IA,1916,5.3,Carroll,America/Chicago
30720,Dalton,GA,27414,218,Whitfield,America/New_York
26074,West Liberty,WV,1190,279.3,Ohio,America/New_York
17045,Liverpool,PA,3316,32.6,Perry,America/New_York
67349,Howard,KS,893,1.5,Elk,America/Chicago
16882,Woodward,PA,387,5.7,Centre,America/New_York
81424,Nucla,CO,1034,1.3,Montrose,America/Denver
50142,Le Grand,IA,989,385.3,Marshall,America/Chicago
65556,Richland,MO,5883,10,Pulaski,America/Chicago
54654,Seneca,WI,99,52.9,Crawford,America/Chicago
7722,Colts Neck,NJ,10089,106.2,Monmouth,America/New_York
70431,Bush,LA,5846,31.4,St. Tammany,America/Chicago
19075,Oreland,PA,7632,1304,Montgomery,America/New_York
92341,Green Valley Lake,CA,222,12.1,San Bernardino,America/Los_Angeles
95960,North San Juan,CA,684,5.5,Nevada,America/Los_Angeles
33503,Balm,FL,162,96.8,Hillsborough,America/New_York
87010,Cerrillos,NM,1059,2.5,Santa Fe,America/Denver
16054,Saint Petersburg,PA,377,77,Clarion,America/New_York
5766,Ripton,VT,524,4.4,Addison,America/New_York
6112,Hartford,CT,21094,2988.5,Hartford,America/New_York
71333,Evergreen,LA,557,5.7,Avoyelles,America/Chicago
49070,Martin,MI,2458,35.9,Allegan,America/Detroit
50039,Bouton,IA,463,7.6,Dallas,America/Chicago
73045,Harrah,OK,11803,68.9,Oklahoma,America/Chicago
55703,Angora,MN,647,1.8,St. Louis,America/Chicago
87040,Paguate,NM,432,9.3,Cibola,America/Denver
22942,Gordonsville,VA,9774,33.8,Louisa,America/New_York
33980,Punta Gorda,FL,13342,559.3,Charlotte,America/New_York
85141,Picacho,AZ,430,4,Pinal,America/Phoenix
13108,Marcellus,NY,6095,80.7,Onondaga,America/New_York
31527,Jekyll Island,GA,883,19.4,Glynn,America/New_York
18054,Green Lane,PA,4653,109.6,Montgomery,America/New_York
78405,Corpus Christi,TX,15059,1145,Nueces,America/Chicago
49045,Decatur,MI,5322,23.7,Van Buren,America/Detroit
93641,Miramonte,CA,223,2.7,Fresno,America/Los_Angeles
38321,Cedar Grove,TN,2300,9.3,Carroll,America/Chicago
39641,Jayess,MS,3624,10,Walthall,America/Chicago
56146,Kanaranzi,MN,88,34.2,Rock,America/Chicago
48038,Clinton Township,MI,43478,1539.3,Macomb,America/Detroit
97492,Westfir,OR,667,11.3,Lane,America/Los_Angeles
91423,Sherman Oaks,CA,33172,2935.5,Los Angeles,America/Los_Angeles
627,Camuy,PR,31598,263.2,Camuy,America/Puerto_Rico
83313,Bellevue,ID,4026,6.7,Blaine,America/Boise
74745,Idabel,OK,9564,21.7,McCurtain,America/Chicago
23313,Capeville,VA,184,58,Northampton,America/New_York
19425,Chester Springs,PA,15950,228.4,Chester,America/New_York
42361,Olaton,KY,423,4.7,Ohio,America/Chicago
95912,Arbuckle,CA,5380,11.5,Colusa,America/Los_Angeles
52155,Lime Springs,IA,1340,4.9,Howard,America/Chicago
43142,Milledgeville,OH,108,593.3,Fayette,America/New_York
33311,Fort Lauderdale,FL,76073,2838.6,Broward,America/New_York
25019,Bickmore,WV,541,9.2,Clay,America/New_York
39359,Sebastopol,MS,339,87.8,Scott,America/Chicago
75708,Tyler,TX,7698,54.3,Smith,America/Chicago
23060,Glen Allen,VA,37554,955,Henrico,America/New_York
65072,Rocky Mount,MO,1568,32,Morgan,America/Chicago
86336,Sedona,AZ,11595,19.9,Yavapai,America/Phoenix
15480,Smock,PA,1887,40.3,Fayette,America/New_York
44223,Cuyahoga Falls,OH,17460,449.3,Summit,America/New_York
8051,Mantua,NJ,10306,1062,Gloucester,America/New_York
44906,Mansfield,OH,16984,316,Richland,America/New_York
79044,Hartley,TX,646,1.3,Hartley,America/Chicago
64118,Kansas City,MO,42952,1294.6,Clay,America/Chicago
6517,Hamden,CT,14313,1083.4,New Haven,America/New_York
52560,Floris,IA,256,2.8,Davis,America/Chicago
43064,Plain City,OH,13727,51.5,Madison,America/New_York
59301,Miles City,MT,11408,1.4,Custer,America/Denver
66224,Overland Park,KS,13561,759.6,Johnson,America/Chicago
93271,Three Rivers,CA,2479,2.5,Tulare,America/Los_Angeles
36370,Pansey,AL,881,12,Houston,America/Chicago
2124,Dorchester Center,MA,56649,7301.7,Suffolk,America/New_York
55441,Minneapolis,MN,18405,822.5,Hennepin,America/Chicago
17922,Auburn,PA,4772,60.6,Schuylkill,America/New_York
65638,Drury,MO,509,3.7,Douglas,America/Chicago
69030,Haigler,NE,250,0.3,Dundy,America/Denver
35559,Glen Allen,AL,12,7.1,Fayette,America/Chicago
61261,Lyndon,IL,903,19.4,Whiteside,America/Chicago
95585,Leggett,CA,457,3.2,Mendocino,America/Los_Angeles
66608,Topeka,KS,5632,467.8,Shawnee,America/Chicago
55029,Grandy,MN,98,516.5,Isanti,America/Chicago
86343,Crown King,AZ,51,0.2,Yavapai,America/Phoenix
13362,Knoxboro,NY,150,209.8,Oneida,America/New_York
85226,Chandler,AZ,39157,188.8,Maricopa,America/Phoenix
49632,Falmouth,MI,1051,4.8,Missaukee,America/Detroit
12161,South Bethlehem,NY,191,180.2,Albany,America/New_York
76577,Thorndale,TX,3187,8.1,Milam,America/Chicago
98513,Olympia,WA,35757,233.6,Thurston,America/Los_Angeles
74859,Okemah,OK,6204,8,Okfuskee,America/Chicago
26508,Morgantown,WV,34056,108.1,Monongalia,America/New_York
83330,Gooding,ID,6469,21.3,Gooding,America/Boise
85938,Springerville,AZ,2322,2.4,Apache,America/Phoenix
62550,Moweaqua,IL,2790,12.1,Shelby,America/Chicago
13074,Hannibal,NY,4050,36.8,Oswego,America/New_York
50570,Ottosen,IA,217,1.9,Humboldt,America/Chicago
66941,Esbon,KS,118,0.4,Jewell,America/Chicago
75475,Randolph,TX,148,27.7,Fannin,America/Chicago
63474,Wyaconda,MO,376,2.2,Clark,America/Chicago
90037,Los Angeles,CA,67640,9205,Los Angeles,America/Los_Angeles
38258,Trezevant,TN,1441,20.4,Carroll,America/Chicago
50255,Thornburg,IA,48,105.1,Keokuk,America/Chicago
62081,Rockbridge,IL,318,5,Greene,America/Chicago
49878,Rapid River,MI,3344,2.8,Delta,America/Detroit
32009,Bryceville,FL,3661,16.4,Nassau,America/New_York
4634,Franklin,ME,1803,6.6,Hancock,America/New_York
62450,Olney,IL,12216,31,Richland,America/Chicago
45322,Englewood,OH,21527,417.5,Montgomery,America/New_York
21740,Hagerstown,MD,61768,341.5,Washington,America/New_York
85375,Sun City West,AZ,29452,617.8,Maricopa,America/Phoenix
96713,Hana,HI,1160,4.3,Maui,Pacific/Honolulu
1244,Mill River,MA,132,20.8,Berkshire,America/New_York
32732,Geneva,FL,4576,31.5,Seminole,America/New_York
60188,Carol Stream,IL,42214,1615.2,DuPage,America/Chicago
95053,Santa Clara,CA,3862,8731.3,Santa Clara,America/Los_Angeles
33612,Tampa,FL,51745,1954.9,Hillsborough,America/New_York
76085,Weatherford,TX,11014,66.6,Parker,America/Chicago
38029,Ellendale,TN,23,169.6,Shelby,America/Chicago
42232,Gracey,KY,1162,16.5,Christian,America/Chicago
95321,Groveland,CA,3541,7.8,Tuolumne,America/Los_Angeles
51555,Missouri Valley,IA,4877,12.1,Harrison,America/Chicago
47874,Rosedale,IN,3207,18,Parke,America/Indiana/Indianapolis
62410,Allendale,IL,1377,14.2,Wabash,America/Chicago
70814,Baton Rouge,LA,13628,678.9,East Baton Rouge,America/Chicago
68375,Hubbell,NE,123,1.2,Thayer,America/Chicago
52345,Urbana,IA,1517,179.5,Benton,America/Chicago
2134,Allston,MA,19907,5795.1,Suffolk,America/New_York
92007,Cardiff By The Sea,CA,11417,1797.5,San Diego,America/Los_Angeles
91932,Imperial Beach,CA,26492,3866.6,San Diego,America/Los_Angeles
48095,Washington,MI,5765,131.5,Macomb,America/Detroit
74016,Chelsea,OK,5842,15.1,Rogers,America/Chicago
68361,Geneva,NE,2382,9.5,Fillmore,America/Chicago
73119,Oklahoma City,OK,32479,2064.9,Oklahoma,America/Chicago
56514,Barnesville,MN,3701,6.7,Clay,America/Chicago
65066,Owensville,MO,5942,11.5,Gasconade,America/Chicago
33955,Punta Gorda,FL,11436,81.6,Charlotte,America/New_York
29054,Gilbert,SC,9211,62.5,Lexington,America/New_York
31410,Savannah,GA,24727,482.8,Chatham,America/New_York
84180,Salt Lake City,UT,0,0,Salt Lake,America/Denver
14479,Knowlesville,NY,115,30,Orleans,America/New_York
91701,Rancho Cucamonga,CA,39461,2090.8,San Bernardino,America/Los_Angeles
5060,Randolph,VT,4417,24.5,Orange,America/New_York
50650,Lamont,IA,865,8.1,Buchanan,America/Chicago
78410,Corpus Christi,TX,28396,479.8,Nueces,America/Chicago
81335,Yellow Jacket,CO,45,0.6,Montezuma,America/Denver
82324,Elk Mountain,WY,232,0.4,Carbon,America/Denver
